abdomen_total,abdomen_thorax,abdomen_head,thorax_total,thorax_abdomen,thorax_head,head_total,head_abdomen,head_thorax,abdomen_red_min_val,abdomen_red_max_val,abdomen_red_std,abdomen_red_mean_val,abdomen_red_mean_num,abdomen_red_max_num,abdomen_green_min_val,abdomen_green_max_val,abdomen_green_std,abdomen_green_mean_val,abdomen_green_mean_num,abdomen_green_max_num,abdomen_blue_min_val,abdomen_blue_max_val,abdomen_blue_std,abdomen_blue_mean_val,abdomen_blue_mean_num,abdomen_blue_max_num,thorax_red_min_val,thorax_red_max_val,thorax_red_std,thorax_red_mean_val,thorax_red_mean_num,thorax_red_max_num,thorax_green_min_val,thorax_green_max_val,thorax_green_std,thorax_green_mean_val,thorax_green_mean_num,thorax_green_max_num,thorax_blue_min_val,thorax_blue_max_val,thorax_blue_std,thorax_blue_mean_val,thorax_blue_mean_num,thorax_blue_max_num,head_red_min_val,head_red_max_val,head_red_std,head_red_mean_val,head_red_mean_num,head_red_max_num,head_green_min_val,head_green_max_val,head_green_std,head_green_mean_val,head_green_mean_num,head_green_max_num,head_blue_min_val,head_blue_max_val,head_blue_std,head_blue_mean_val,head_blue_mean_num,head_blue_max_num,abdomen,thorax,head,img_id
0.5339398355617311,1.7022369881838693,3.503757000739701,0.3136695062250973,0.5874622669707749,2.0583250305692675,0.15239065821317163,0.28540792063744247,0.48583191922970087,0.0,60256.0,14555.045,7253.1055,67.25,255.0,0.0,34326.0,10710.812,7253.1055,68.5,255.0,0.0,23515.0,7376.222,7253.1055,69.0,255.0,0.0,21594.0,5566.236,4260.926,66.49795918367347,255.0,0.0,18511.0,4663.754,4260.926,68.0,255.0,0.0,13581.0,4195.331,4260.926,68.25,255.0,0.0,7889.0,2196.456,2070.0938,66.75,255.0,0.0,7110.0,1679.4973,2070.0938,68.0,255.0,0.0,12769.0,1251.1115,2070.0938,68.5,255.0,1856795.0,1090797.0,529944.0,CAS001_CAS0000064_stacked_02_H
0.3596209363291905,1.0003838190735936,1.2802631703239091,0.3594829599125442,0.9996163281869662,1.2797719694321907,0.2808961037582653,0.781089406599893,0.781389203612328,0.0,15938.0,2807.0906,1058.8477,66.99792531120332,255.0,0.0,13515.0,2610.988,1058.8477,68.0,255.0,0.0,12541.0,2486.3992,1058.8477,68.0,255.0,0.0,8225.0,1681.8851,1058.4414,67.25,255.0,0.0,6668.0,1478.127,1058.4414,67.75,255.0,0.0,5539.0,1293.8751,1058.4414,68.25,255.0,0.0,3270.0,743.5033,827.0547,67.0,255.0,0.0,20814.0,1385.4601,827.0547,69.75,255.0,0.0,34210.0,2184.3828,827.0547,70.5,255.0,271065.0,270961.0,211726.0,CAS001_CAS0000082_stacked_02_H
0.37554940672325304,1.0828171962853994,1.3527249670586603,0.34682623069856483,0.9235169181192324,1.2492643926409543,0.2776243625781822,0.7392485718470778,0.8004710659254384,0.0,2132.0,668.7692,533.3594,67.25,255.0,0.0,1557.0,374.0251,533.3594,70.0,255.0,0.0,8782.0,584.58923,533.3594,70.75,255.0,0.0,3293.0,830.18665,492.5664,65.26694915254237,250.0,0.0,2651.0,742.6754,492.5664,68.25,255.0,0.0,2839.0,668.1523,492.5664,68.5,255.0,0.0,1684.0,369.88623,394.28516,67.5,255.0,0.0,4019.0,341.1195,394.28516,69.25,255.0,0.0,12133.0,785.1027,394.28516,69.75,255.0,136540.0,126097.0,100937.0,CAS002_CAS0000114_stacked_01_H
0.46642123785771167,1.3916848081273745,2.350556343274615,0.33514861636329824,0.7185535073459498,1.689000504674245,0.1984301457789901,0.42543119753805886,0.5920661345171526,0.0,5905.0,1358.0812,764.1328,52.78225806451613,203.0,0.0,5274.0,1235.859,764.1328,63.263513513513516,242.0,0.0,4547.0,1138.729,764.1328,67.25420168067227,255.0,0.0,2442.0,687.8576,549.0703,67.5,255.0,0.0,2224.0,611.48346,549.0703,68.0,255.0,0.0,2166.0,569.4097,549.0703,68.25,255.0,0.0,2181.0,408.59293,325.08594,68.0,255.0,0.0,4376.0,457.29968,325.08594,68.5,255.0,0.0,6644.0,527.72864,325.08594,68.75,255.0,195618.0,140562.0,83222.0,CAS001_CAS0000004_stacked_05_H
0.44838832633477577,1.2612866484145973,2.286401369207761,0.35550073165238655,0.7928411842438612,1.8127531692194667,0.19611094201283766,0.4373685274455992,0.5516470841038876,0.0,26220.0,7847.498,4425.16,58.034246575342465,230.0,0.0,19146.0,5357.2837,4425.16,68.25211864406779,255.0,0.0,14161.0,3536.015,4425.16,69.0,255.0,0.0,13746.0,4002.0723,3508.4492,66.0,255.0,0.0,15872.0,2960.5444,3508.4492,68.0,255.0,0.0,40094.0,3101.907,3508.4492,68.5,255.0,0.0,11014.0,2408.4224,1935.4258,65.99797570850203,255.0,0.0,20754.0,2228.7815,1935.4258,68.0,255.0,0.0,32129.0,2469.6262,1935.4258,69.0,255.0,1132841.0,898163.0,495469.0,CAS001_CAS0000065_stacked_01_H
0.43612320189291887,1.5622623574144487,1.5317859962977824,0.27916130720495935,0.6400973532096136,0.9804921619137617,0.2847154909021218,0.6528327079741744,1.019895965356992,0.0,3594.0,934.5005,462.23438,60.79372197309417,243.0,0.0,2815.0,828.87933,462.23438,67.70434782608696,255.0,0.0,2308.0,729.3292,462.23438,69.0,255.0,0.0,1890.0,502.3263,295.875,67.75,255.0,0.0,1791.0,506.01334,295.875,68.75,255.0,0.0,1761.0,495.4377,295.875,68.7542735042735,255.0,0.0,1209.0,319.10822,301.76172,68.25,255.0,0.0,2677.0,264.44278,301.76172,69.5,255.0,0.0,8598.0,559.5368,301.76172,70.75,255.0,118332.0,75744.0,77251.0,CAS001_CAS0000014_stacked_03_H
0.4227805086300456,1.522871982361987,1.4111547309748085,0.27762051802562526,0.6566540139828377,0.9266404184454796,0.2995989733443291,0.7086395120606032,1.0791672585117618,0.0,17713.0,3018.3496,963.2344,66.5,255.0,0.0,15627.0,2759.898,963.2344,67.75,255.0,0.0,13813.0,2564.928,963.2344,67.75,255.0,0.0,5227.0,900.22565,632.5117,66.5,255.0,0.0,5666.0,835.91656,632.5117,68.0,255.0,0.0,7965.0,807.18536,632.5117,68.25,255.0,0.0,2216.0,708.4379,682.58594,66.5108225108225,249.0,0.0,1512.0,474.70218,682.58594,71.25,255.0,0.0,13941.0,926.1234,682.58594,73.0,255.0,246588.0,161923.0,174742.0,CAS001_CAS0000083_stacked_01_H
,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,2130.0,588.6722,716.9961,66.99794238683127,255.0,0.0,8028.0,630.60144,716.9961,69.0,255.0,0.0,16793.0,1070.2426,716.9961,70.0,255.0,,,,,,,,,,,,,,,,,,,,183551.0,,CAS002_CAS0000115_stacked_02_H
0.4822165222430637,1.5065888856747982,2.4389877984268904,0.32007173743823275,0.6637510800115202,1.618880785340768,0.1977117403187035,0.4100061511767237,0.617710710421153,0.0,13474.0,2669.8706,1098.6211,67.25,255.0,0.0,12112.0,2486.1523,1098.6211,67.5,255.0,0.0,10861.0,2287.862,1098.6211,67.5,255.0,0.0,5191.0,1193.1215,729.21094,66.5,255.0,0.0,4815.0,1103.1359,729.21094,67.5,255.0,0.0,4247.0,1037.4929,729.21094,68.25,255.0,0.0,1912.0,475.72748,450.4414,66.99794238683127,255.0,0.0,2364.0,325.95285,450.4414,69.0,255.0,0.0,9105.0,606.99133,450.4414,70.0,255.0,281247.0,186678.0,115313.0,CAS001_CAS0000001_stacked_02_H
0.5078693865042936,1.4312588444849137,3.6992569678221576,0.3548410467200064,0.6986856387670977,2.584617717526461,0.1372895667757,0.27032455671462163,0.38690441267926584,0.0,33876.0,6117.3916,2382.336,67.25,255.0,0.0,30872.0,5852.7466,2382.336,67.75,255.0,0.0,29925.0,5767.6885,2382.336,67.75,255.0,0.0,15342.0,3557.0393,1664.5039,67.25,255.0,0.0,15613.0,3464.1594,1664.5039,67.25,255.0,0.0,15867.0,3406.377,1664.5039,67.5,255.0,0.0,2630.0,605.0472,644.0039,64.25,242.0,0.0,1555.0,379.78778,644.0039,68.25,255.0,0.0,10131.0,667.66144,644.0039,68.5,255.0,609878.0,426113.0,164865.0,CAS001_CAS0000020_stacked_02_H
