total_volume,volume_head,volume_thorax,volume_abdomen,total_length,length_head,length_thorax,length_abdomen,file_name
0.819,0.162,0.272,0.385,6.668,0.918,2.202,3.365,CAS001_CAS0000006_stacked_05_H
0.256,0.076,0.099,0.081,3.516,0.968,0.871,1.387,CAS002_CAS0000101_stacked_01_H
0.29,0.086,0.088,0.116,3.902,0.716,1.324,1.754,CAS001_CAS0000057_stacked_01_H
1.644,0.258,0.431,0.955,10.777,1.285,2.966,5.339,CAS001_CAS0000074_stacked_02_H
0.18,0.046,0.055,0.079,3.885,0.891,1.069,1.461,CAS002_CAS0000122_stacked_02_H
0.191,0.031,0.097,0.063,3.541,0.715,0.812,1.364,CAS002_CAS0000156_stacked_01_H
0.192,0.076,0.07,0.046,3.905,1.147,0.824,0.86,CAS002_CAS0000118_stacked_01_H
0.185,0.061,0.095,0.029,4.535,1.082,0.707,1.581,CAS002_CAS0000130_stacked_01_H
0.906,0.23,0.298,0.378,6.164,1.357,1.244,2.488,CAS001_CAS0000066_stacked_01_H
0.56,0.131,0.099,0.33,8.902,1.633,2.205,4.002,CAS001_CAS0000028_stacked_01_H
0.292,0.089,0.13,0.073,4.086,0.862,1.35,1.649,CAS001_CAS0000012_stacked_02_H
0.253,0.081,0.11,0.062,4.312,1.029,1.503,1.543,CAS001_CAS0000004_stacked_03_H
0.222,0.067,0.112,0.043,4.587,1.136,1.178,1.557,CAS002_CAS0000144_stacked_02_H
0.38,0.063,0.143,0.174,5.052,1.066,1.205,2.179,CAS001_CAS0000040_stacked_02_H
0.207,0.054,0.094,0.059,4.292,1.063,1.024,1.654,CAS002_CAS0000116_stacked_02_H
0.376,0.085,0.175,0.116,4.622,0.89,0.721,2.078,CAS001_CAS0000090_stacked_02_H
0.446,0.112,0.064,0.27,7.973,1.755,1.024,3.292,CAS001_CAS0000034_stacked_01_H
0.217,0.06,0.067,0.09,3.591,0.856,1.021,1.285,CAS002_CAS0000104_stacked_01_H
1.11,0.637,0.464,0.009,6.369,3.798,2.395,1.636,CAS001_CAS0000052_stacked_01_H
0.796,0.216,0.297,0.283,6.336,1.221,2.093,2.848,CAS001_CAS0000015_stacked_04_H
0.371,0.144,0.189,0.038,5.726,1.261,1.523,2.417,CAS001_CAS0000026_stacked_02_H
0.89,0.186,0.384,0.32,7.484,1.716,2.54,2.815,CAS001_CAS0000068_stacked_02_H
0.31,0.095,0.035,0.18,5.573,1.483,0.818,2.403,CAS001_CAS0000082_stacked_01_H
0.423,0.077,0.158,0.188,4.545,0.584,1.584,2.252,CAS001_CAS0000030_stacked_03_H
0.503,0.176,0.206,0.121,5.82,1.549,1.602,1.762,CAS001_CAS0000048_stacked_01_H
0.68,0.105,0.316,0.259,5.748,1.213,1.951,1.898,CAS001_CAS0000006_stacked_01_H
0.258,0.089,0.085,0.084,4.244,1.012,0.623,1.441,CAS002_CAS0000150_stacked_01_H
