total_volume,volume_head,volume_thorax,volume_abdomen,total_length,length_head,length_thorax,length_abdomen,file_name
0.3,0.0,0.1,0.1,4.7,0.8,1.5,2.3,CAS003_CAS0000224_stacked_01_H
0.4,0.0,0.1,0.2,4.5,0.4,1.6,2.4,CAS005_CAS0000389_stacked_01_H
0.2,0.1,0.1,0.0,4.3,1.2,0.8,1.0,CAS005_CAS0000413_stacked_01_H
0.2,0.0,0.1,0.1,3.7,0.7,1.2,1.6,CAS003_CAS0000248_stacked_02_H
0.3,0.0,0.2,0.2,4.3,0.3,1.9,2.0,CAS004_CAS0000361_stacked_01_H
0.3,0.1,0.1,0.1,5.1,1.0,0.8,2.3,CAS003_CAS0000206_stacked_02_H
0.2,0.1,0.1,0.1,3.6,0.9,1.2,1.1,CAS002_CAS0000183_stacked_01_H
0.4,0.1,0.2,0.1,5.1,1.1,2.0,1.6,CAS003_CAS0000272_stacked_01_H
0.3,0.1,0.1,0.1,4.7,0.9,0.9,1.9,CAS004_CAS0000315_stacked_02_H
0.1,0.0,0.0,0.0,4.3,1.0,0.8,1.6,CAS002_CAS0000169_stacked_02_H
0.3,0.1,0.2,0.0,3.2,0.8,1.0,0.6,CAS004_CAS0000297_stacked_02_H
0.6,0.1,0.3,0.2,5.9,1.1,1.3,2.3,CAS003_CAS0000214_stacked_01_H
0.5,0.1,0.1,0.2,6.0,1.6,1.8,2.5,CAS005_CAS0000401_stacked_02_H
0.2,0.1,0.1,0.1,3.9,0.8,0.9,1.7,CAS003_CAS0000193_stacked_01_H
0.1,0.0,0.1,0.0,6.6,0.9,2.0,0.8,CAS004_CAS0000307_stacked_01_H
0.4,0.1,0.3,,2.6,1.2,1.3,,CAS004_CAS0000349_stacked_01_H
0.3,0.1,0.1,0.1,5.2,1.2,1.6,2.1,CAS003_CAS0000260_stacked_02_H
0.3,0.1,0.1,0.1,3.3,0.6,1.2,0.8,CAS003_CAS0000232_stacked_02_H
0.3,0.1,0.1,0.1,4.1,1.0,1.2,1.6,CAS002_CAS0000167_stacked_01_H
0.2,0.1,0.1,0.1,5.9,1.2,0.9,2.3,CAS004_CAS0000355_stacked_01_H
0.2,0.1,0.1,0.0,4.4,1.1,1.5,1.4,CAS004_CAS0000304_stacked_05_H
0.3,0.1,0.1,0.1,4.5,1.1,1.2,2.1,CAS003_CAS0000208_stacked_01_H
0.2,0.1,0.1,0.1,4.2,0.9,1.4,1.7,CAS004_CAS0000321_stacked_02_H
0.3,0.1,0.1,0.1,4.2,0.7,1.7,1.6,CAS005_CAS0000387_stacked_02_H
0.2,0.1,0.0,0.1,5.3,1.1,0.9,2.3,CAS003_CAS0000246_stacked_01_H
0.2,0.0,0.1,0.1,4.1,0.6,1.4,1.6,CAS003_CAS0000284_stacked_02_H
0.5,0.1,0.2,0.2,4.9,1.0,0.6,2.5,CAS004_CAS0000347_stacked_02_H
0.5,0.1,0.3,,2.1,1.0,1.1,,CAS004_CAS0000309_stacked_02_H
0.7,0.2,0.3,0.3,6.8,1.6,1.7,2.8,CAS003_CAS0000220_stacked_01_H
0.3,0.1,0.2,0.0,4.5,1.0,1.0,1.3,CAS002_CAS0000175_stacked_02_H
0.2,0.0,0.0,0.2,7.1,1.4,1.5,3.0,CAS005_CAS0000395_stacked_01_H
0.2,0.1,0.1,0.0,4.4,1.2,1.5,1.5,CAS003_CAS0000254_stacked_02_H
0.3,0.1,0.1,0.1,4.8,1.1,1.5,1.9,CAS004_CAS0000333_stacked_01_H
0.3,0.1,0.2,0.0,4.7,0.9,1.6,2.0,CAS004_CAS0000299_stacked_01_H
0.2,0.1,0.1,0.1,4.8,1.0,1.1,2.1,CAS002_CAS0000186_stacked_01_H
0.3,0.0,0.1,0.1,4.8,0.7,1.5,2.2,CAS004_CAS0000310_stacked_02_H
0.2,0.1,0.1,0.0,3.7,1.0,1.1,1.4,CAS003_CAS0000239_stacked_01_H
0.3,,0.1,0.1,3.7,,1.2,2.0,CAS003_CAS0000277_stacked_01_H
0.2,0.1,0.1,0.0,3.9,1.0,0.9,1.4,CAS003_CAS0000203_stacked_02_H
0.5,0.1,0.2,0.2,4.8,0.9,1.2,2.1,CAS004_CAS0000364_stacked_01_H
0.9,0.1,0.2,0.6,5.5,1.7,1.3,2.0,CAS005_CAS0000416_stacked_01_H
0.5,0.1,0.2,0.2,5.3,1.3,1.0,2.0,CAS003_CAS0000265_stacked_02_H
0.2,0.1,0.1,0.1,4.7,1.0,1.1,1.9,CAS003_CAS0000196_stacked_01_H
0.4,0.0,0.3,0.0,9.2,1.8,5.2,1.4,CAS004_CAS0000302_stacked_01_H
0.3,0.0,0.1,0.1,4.3,0.5,1.2,1.9,CAS004_CAS0000292_stacked_02_H
0.2,,0.1,0.1,3.3,,1.3,1.9,CAS004_CAS0000376_stacked_02_H
0.4,0.1,0.2,0.1,4.2,0.8,1.6,1.6,CAS005_CAS0000404_stacked_02_H
0.3,0.1,0.1,0.1,4.1,1.1,1.2,1.2,CAS003_CAS0000211_stacked_01_H
0.3,0.0,0.2,0.1,4.1,0.9,0.7,1.6,CAS004_CAS0000380_stacked_01_H
0.3,0.1,0.1,0.1,3.6,0.8,1.3,0.9,CAS003_CAS0000243_stacked_01_H
0.4,0.1,0.2,0.1,4.6,1.0,0.6,2.0,CAS002_CAS0000158_stacked_02_H
